Sample,,,,,,C37:3 Results,,,C37:2 Results,,,GDGT-0 Results,,,GDGT-1a Results,,,GDGT-1 Results,,,GDGT-2a Results,,,GDGT-2 Results,,,GDGT-3a Results,,,GDGT-3 Results,,,GDGT-4 Results,,,Cren Results,,,Cren-regioisomer Results,,
,,Name,Data File,Type,Acq. Date-Time,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area
,,blank-10_1500ul-99:1_hex:IPA,20211209a_001.d,Sample,12/13/2021 5:15 PM,2.859,0.57,2342,3.380,1.19,343,19.177,111.26,8762,19.572,18.73,2457,19.770,15.55,1640,19.951,63.32,2968,20.264,4.10,278,20.495,2.52,173,21.351,12.85,678,21.681,29.87,1106,21.829,39.22,1243,21.829,39.14,1239
,!,CM_F8.5_QQQ_Drift_v210227-10_1000ul-99:1_hex:IPA,20211209a_002.d,Sample,12/13/2021 6:24 PM,3.793,10.74,38384,3.512,394.15,211465,19.078,112270.71,9666255,19.474,8,131242,19.622,8,962490,20.099,176.35,59157,20.281,965.67,621225,20.692,3.30,37893,20.824,1.63,177660,21.368,,-393,21.664,8,17605875,22.027,0.01,317155
,!,C37:2_C37:3_std_113-10_1000ul-99:1_hex:IPA,20211209a_003.d,Sample,12/13/2021 7:33 PM,4.207,6898.90,27235563,3.843,25846.90,34330933,19.078,263.49,12846,19.523,1.23,36,19.852,0.72,31,20.132,2.03,66,20.363,19.57,949,21.417,1.54,59,21.417,1.04,55,21.747,72.74,5195,21.714,314.94,27864,21.977,2.82,262
,!,blank-10_1500ul-99:1_hex:IPA,20211209a_004.d,Sample,12/13/2021 8:41 PM,3.248,0.51,606,3.322,0.93,592,19.210,56.60,2715,19.391,1.35,46,19.737,1.02,51,19.968,1.26,79,20.561,0.77,47,20.725,0.59,69,21.154,0.81,50,21.648,0.93,36,21.944,3.83,122,21.944,2.87,119
,!,S1_TLE_TE_2%aliq_QQQ_99:1_hex:IPA_300ul,20211209a_005.d,Sample,12/13/2021 9:50 PM,4.256,236.21,1338250,3.884,2101.80,1313531,19.210,43202.88,5079562,19.506,9.74,68218,19.786,12.04,1213898,20.083,4.83,76592,20.363,8,1968669,20.676,8,184505,21.038,1.51,393431,21.747,30.62,105048,21.895,8,4093256,22.257,0.01,75679
,!,S3_TLE_TE_2%aliq_QQQ_99:1_hex:IPA_300ul,20211209a_006.d,Sample,12/13/2021 10:59 PM,2.967,370.00,814604,2.826,89.30,706312,19.029,8,9441345,18.996,50.07,209243,19.589,8,2449074,19.951,0.60,43064,20.149,1359.70,2865433,20.495,3.92,40633,20.824,8.99,424032,21.516,8,71116,21.664,8,6544792,22.043,8,43955
,!,S4_TLE_TE_2%aliq_QQQ_99:1_hex:IPA_300ul,20211209a_007.d,Sample,12/14/2021 12:08 AM,2.975,514.48,791777,2.826,821.11,630345,19.062,44451.64,15319409,19.325,3.28,207280,19.622,8,3372090,20.017,8,48600,20.165,8,5004232,20.495,16.54,98102,20.841,4.57,611981,21.549,778.91,104339,21.681,8,6893292,22.060,0.01,94857
,!,S5_TLE_TE_2%aliq_QQQ_99:1_hex:IPA_300ul,20211209a_008.d,Sample,12/14/2021 1:16 AM,2.983,369.52,769950,2.834,708.84,595747,19.062,187395.01,22870929,19.309,23.37,434286,19.622,8,7695228,19.984,0.84,206268,20.182,3052.54,11564723,20.478,69.57,238727,20.857,6.59,1421754,21.565,8,143109,21.697,57703.34,7220901,22.076,878.11,89450
,!,S7_TLE_TE_2%aliq_QQQ_99:1_hex:IPA_300ul,20211209a_009.d,Sample,12/14/2021 2:25 AM,2.992,813.88,1386040,2.843,1857.73,1218858,19.095,138586.61,11713092,19.358,8,250066,19.638,9.35,2313726,19.935,8,300629,20.198,8.23,3383047,20.528,8,593055,20.874,8,995116,21.598,8,297156,21.714,60170.20,8133361,22.076,0.01,130416
,!,S9_TLE_TE_2%aliq_QQQ_99:1_hex:IPA_300ul,20211209a_010.d,Sample,12/14/2021 3:34 AM,2.992,385.43,1451345,2.843,2196.53,1198230,19.095,8,18007004,19.358,8,849054,19.655,7.13,5678646,19.918,8,1071250,20.215,8,13812763,20.528,8,2741475,20.874,448.40,4145837,21.565,104.73,1083508,21.730,13949.59,12016743,22.109,0.01,172847
,!,S10_TLE_TE_2%aliq_QQQ_99:1_hex:IPA_300ul,20211209a_011.d,Sample,12/14/2021 4:42 AM,2.992,508.34,1021811,2.843,1783.54,848030,19.095,133636.59,13877762,19.358,8,605623,19.655,8,4563049,19.935,8,1014047,20.215,8,12718960,20.544,246.71,3033909,20.890,232.32,3795229,21.565,21.56,901968,21.730,48882.76,9531940,22.109,0.01,126686
,!,S11_TLE_TE_2%aliq_QQQ_99:1_hex:IPA_300ul,20211209a_012.d,Sample,12/14/2021 5:51 AM,2.992,405.68,1192135,2.843,1413.83,1109328,19.111,8,24208459,19.375,10.97,1452335,19.671,6.03,9773088,19.951,8,2336945,20.231,6.49,24926605,20.528,2290.82,7537059,20.907,0.90,8096524,21.582,4.98,2435407,21.747,8,14394000,22.125,0.01,148209
,!,blank-10_1500ul-99:1_hex:IPA,20211209a_013.d,Sample,12/14/2021 7:00 AM,2.975,0.75,1034,3.488,0.46,160,19.309,7.55,835,19.589,14.25,944,19.589,14.30,967,20.132,38.81,4265,20.132,38.81,4264,20.808,31.07,2937,20.808,45.37,2929,21.664,29.35,1368,21.697,101.76,3416,21.697,101.67,3406
