Sample,,,,,,C37:3 Results,,,C37:2 Results,,,GDGT-1a Results,,,GDGT-0 Results,,,GDGT-1b Results,,,GDGT-1 Results,,,GDGt-3a Results,,,GDGT-2a Results,,,GDGT-2 Results,,,GDGT-3b Results,,,GDGT-3 Results,,,GDGT-4 Results,,,Cren Results,,,Cren-regioisomer Results,,
,,Name,Data File,Type,Acq. Date-Time,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area,RT,S/N,Area
,,blank-10_1500ul-99:1_hex:IPA,20211209a_001.d,Sample,12/13/2021 5:15 PM,2.859,0.57,2342,3.380,1.19,343,19.128,31.41,7512,19.177,111.27,8764,19.572,17.44,2546,19.770,15.13,1535,20.231,3.65,222,20.264,3.40,187,20.445,3.71,199,20.495,2.57,173,20.495,2.49,173,21.302,137.46,6691,21.829,39.16,1241,21.829,39.14,1239
,!,CM_F8.5_QQQ_Drift_v210227-10_1000ul-99:1_hex:IPA,20211209a_002.d,Sample,12/13/2021 6:24 PM,3.793,10.69,40038,3.512,394.15,211465,19.474,8,131242,19.078,112483.77,9788034,19.474,8,130795,19.622,8,1026738,20.824,829.02,223906,20.281,8,622600,20.281,8,622600,20.692,3.50,44295,20.824,10.88,223851,21.664,7649.05,7806685,21.664,8,17605703,21.664,8,17605703
,!,C37:2_C37:3_std_113-10_1000ul-99:1_hex:IPA,20211209a_003.d,Sample,12/13/2021 7:33 PM,4.207,6898.90,27235563,3.843,959.95,34330933,18.699,0.36,14,19.078,385.35,12851,19.358,1.28,104,19.852,0.86,42,19.885,0.78,59,20.363,19.54,946,20.363,19.53,945,21.417,1.04,55,21.417,1.32,56,21.747,72.74,5195,21.714,314.94,27862,21.714,315.03,27885
,!,blank-10_1500ul-99:1_hex:IPA,20211209a_004.d,Sample,12/13/2021 8:41 PM,3.248,0.51,606,3.322,0.93,592,19.012,0.61,33,19.210,56.91,2772,19.391,1.48,75,19.737,1.01,60,20.297,1.95,54,20.561,0.99,55,20.561,0.71,43,20.725,0.58,41,20.874,0.94,36,21.467,0.91,54,21.944,2.84,124,21.944,2.89,128
,!,S1_TLE_TE_2%aliq_QQQ_99:1_hex:IPA_300ul,20211209a_005.d,Sample,12/13/2021 9:50 PM,4.256,236.21,1338250,3.884,2101.80,1313531,19.194,8,20430,19.210,40932.77,5185679,19.506,8,69614,19.786,12.04,1211518,20.347,28.75,5598,20.083,3.94,53887,20.363,8,2041241,20.676,2929.55,173328,21.038,7435.97,388297,21.384,0.72,3651,21.895,8,4077458,22.257,0.01,82765
,!,S3_TLE_TE_2%aliq_QQQ_99:1_hex:IPA_300ul,20211209a_006.d,Sample,12/13/2021 10:59 PM,2.967,370.00,814604,2.826,89.30,706312,18.996,0.60,81746,19.029,8,9441146,19.457,8,190720,19.589,8,2345273,20.495,8,24292,19.902,7.38,46105,20.149,8,2988895,20.643,0.53,18217,20.824,8,410572,21.483,8,70871,21.664,8,6350279,22.043,0.01,89427
,!,S4_TLE_TE_2%aliq_QQQ_99:1_hex:IPA_300ul,20211209a_007.d,Sample,12/14/2021 12:08 AM,2.975,514.48,791777,2.826,821.39,630846,19.045,0.34,66818,19.062,44451.79,15319655,19.325,1.35,158860,19.622,8,3345180,20.495,8,84187,19.951,2.02,37700,20.165,8,5015717,20.709,9.88,22420,20.841,130.05,584883,21.549,53.49,97305,21.681,8,6995099,22.060,0.01,101745
,!,S5_TLE_TE_2%aliq_QQQ_99:1_hex:IPA_300ul,20211209a_008.d,Sample,12/14/2021 1:16 AM,2.983,369.52,769950,2.834,705.25,593710,19.062,0.25,65306,19.062,253623.21,22870609,19.309,20.62,275381,19.622,8,7903416,20.165,8,51717,19.984,0.70,129237,20.182,3068.78,11776452,20.478,65.04,202583,20.857,740.93,1386005,21.549,8,131291,21.697,58486.52,7557668,22.076,0.01,121763
,!,S7_TLE_TE_2%aliq_QQQ_99:1_hex:IPA_300ul,20211209a_009.d,Sample,12/14/2021 2:25 AM,2.992,813.88,1386040,2.843,1850.91,1219022,19.078,8,50630,19.095,138586.82,11713193,19.358,8,241398,19.638,8,2320268,20.198,7.81,10716,19.935,8,239051,20.198,8,3357483,20.528,276.08,583483,20.874,577.35,993653,21.582,8,239025,21.714,8,8233918,22.076,0.01,130346
,!,S9_TLE_TE_2%aliq_QQQ_99:1_hex:IPA_300ul,20211209a_010.d,Sample,12/14/2021 3:34 AM,2.992,385.43,1451345,2.843,2196.09,1197660,19.078,8,86113,19.095,8,18007064,19.358,8,643499,19.655,7.11,5694102,20.215,11.74,41529,19.918,8,1014646,20.215,8.58,13797469,20.528,8,2842271,20.874,8,4067850,21.565,22.97,914738,21.730,8,12178398,22.109,0.01,221902
,!,S10_TLE_TE_2%aliq_QQQ_99:1_hex:IPA_300ul,20211209a_011.d,Sample,12/14/2021 4:42 AM,2.992,508.34,1021811,2.843,1771.13,833893,19.078,8,59661,19.095,133533.32,13886823,19.358,8,580965,19.655,6.23,4898574,20.198,0.93,36076,19.935,23.67,1058054,20.215,7.36,12727025,20.544,246.70,3033479,20.890,370.18,3796496,21.565,87.89,981146,21.730,49208.07,9698003,22.109,0.01,160356
,!,S11_TLE_TE_2%aliq_QQQ_99:1_hex:IPA_300ul,20211209a_012.d,Sample,12/14/2021 5:51 AM,2.992,405.68,1192135,2.843,1412.04,1106038,19.095,8,128032,19.111,8,24210136,19.375,8,1324610,19.671,8,9805189,20.231,5.39,127300,19.951,8,2393420,20.231,6.48,24830365,20.528,8,7681237,20.907,0.83,8429346,21.582,5.02,2553892,21.747,8,14583006,22.125,0.01,232840
,!,blank-10_1500ul-99:1_hex:IPA,20211209a_013.d,Sample,12/14/2021 7:00 AM,2.975,0.75,1034,3.488,0.46,160,19.111,2.52,113,19.309,7.54,832,19.309,21.58,1138,19.589,13.42,951,20.808,36.26,2926,20.132,38.85,4276,20.132,38.86,4279,20.462,0.91,148,20.808,31.08,2941,21.500,1.91,89,21.697,101.79,3419,21.697,101.64,3403
